epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.483,1.15295,2.64746,0.93628,0.00071,0.0625,0.04769,0.02937,1.62552,3.84615,1.26452,0.0012,0.0012,0.0892
2,90.6725,1.26481,1.79141,1.02487,0.53034,0.00521,0.00543,0.00111,3.09314,4.57325,3.74621,0.00249939,0.00249939,0.0774994
3,134.38,1.27665,1.56543,1.00772,0.25368,0.0026,0.00249,0.00094,2.36159,28.3317,2.13401,0.00379629,0.00379629,0.0657963
4,181.178,1.22842,1.57423,1.00775,0.00283,0.11719,0.00105,0.0003,4.08495,2321.87,6.66974,0.0050888,0.0050888,0.0540888
5,231.789,1.31614,1.51241,1.0107,0.00101,0.04948,0.00149,0.00033,3.0312,385.69,2.37242,0.00637502,0.00637502,0.042375
6,278.611,1.28063,1.4149,0.99736,0.22057,0.14062,0.12415,0.062,2.44874,43.619,1.79775,0.00765307,0.00765307,0.0306531
7,323.357,1.28011,1.45647,1.03145,0.29073,0.15885,0.02543,0.01261,2.02943,125.744,1.51179,0.00892109,0.00892109,0.0189211
8,369.17,1.20917,1.39514,0.98707,0.38169,0.22917,0.26257,0.13085,1.73112,3.25131,1.32613,0.00988079,0.00988079,0.00988079
9,416.067,1.25541,1.39583,0.9913,0.3985,0.41146,0.34462,0.19661,1.47021,3.14272,1.18583,0.00984449,0.00984449,0.00984449
10,461.514,1.19478,1.36447,0.988,0.22911,0.50781,0.36142,0.22277,1.3808,2.16472,1.1328,0.00980345,0.00980345,0.00980345
11,504.906,1.13699,1.27995,0.9673,0.70558,0.2547,0.26407,0.16563,1.39417,2.10607,1.14952,0.00975773,0.00975773,0.00975773
12,548.934,1.14732,1.24021,0.97023,0.91508,0.18223,0.34543,0.16425,1.41043,2.5335,1.18117,0.00970736,0.00970736,0.00970736
13,592.978,1.12732,1.25537,0.95694,0.93931,0.15434,0.31581,0.18619,1.10261,2.51627,1.02941,0.00965239,0.00965239,0.00965239
14,637.252,1.11372,1.15381,0.94724,0.4118,0.32812,0.29418,0.17282,1.12975,4.11907,1.04054,0.00959289,0.00959289,0.00959289
15,681.298,1.0801,1.17773,0.95627,0.81011,0.25781,0.2639,0.14997,1.23479,5.67394,1.11234,0.00952889,0.00952889,0.00952889
16,730.281,1.07195,1.18202,0.94931,0.72678,0.32258,0.2858,0.17434,1.05143,3.86565,1.00021,0.00946048,0.00946048,0.00946048
17,776.255,1.0391,1.16182,0.95291,0.44549,0.28906,0.26901,0.18007,1.02871,3.06226,0.98511,0.00938772,0.00938772,0.00938772
18,828.853,1.00105,1.11998,0.94528,0.13508,0.61719,0.27877,0.18223,1.00585,2.70692,0.9744,0.00931067,0.00931067,0.00931067
19,874.228,1.00584,1.09454,0.9355,0.78429,0.32031,0.33822,0.19492,1.14406,1.62296,1.0097,0.00922942,0.00922942,0.00922942
20,918.287,1.01,1.08208,0.93689,0.79704,0.36458,0.3332,0.20414,1.08185,1.18471,0.97633,0.00914405,0.00914405,0.00914405
21,961.858,0.96426,1.1535,0.92644,0.50806,0.38802,0.32707,0.22517,1.01857,1.19764,0.95998,0.00905463,0.00905463,0.00905463
22,1004.26,0.97928,1.06674,0.9291,0.81742,0.33335,0.36075,0.23224,1.06496,1.10293,0.98065,0.00896127,0.00896127,0.00896127
23,1047.45,0.96419,1.03812,0.91968,0.72237,0.30372,0.25938,0.17185,1.04972,1.86034,0.98263,0.00886404,0.00886404,0.00886404
24,1091.73,0.97126,1.06185,0.92304,0.73883,0.26042,0.27908,0.17616,1.16416,1.89522,1.01293,0.00876305,0.00876305,0.00876305
25,1136.38,0.99434,1.04101,0.92759,0.79667,0.25521,0.31633,0.20233,1.01,1.21587,0.99818,0.00865839,0.00865839,0.00865839
26,1178.69,0.97069,1.09824,0.92937,0.46777,0.4375,0.33944,0.20996,1.00305,1.19806,1.00503,0.00855018,0.00855018,0.00855018
27,1221.14,0.9825,1.01677,0.90215,0.41923,0.48698,0.3023,0.19483,1.05287,1.13071,1.00107,0.00843851,0.00843851,0.00843851
28,1265.1,0.95476,1.0157,0.90738,0.48262,0.43309,0.34419,0.21845,1.02612,1.12025,0.97835,0.00832349,0.00832349,0.00832349
29,1309.67,0.91952,1.02236,0.89775,0.2126,0.59036,0.3801,0.24461,0.97828,1.11271,0.97706,0.00820525,0.00820525,0.00820525
30,1345.7,0.91528,1.01912,0.91113,0.80437,0.33284,0.39341,0.26792,0.99786,1.15288,0.98236,0.00808389,0.00808389,0.00808389
31,1382.14,0.92949,0.99318,0.92741,0.8064,0.42699,0.40006,0.27145,0.91037,1.1951,0.95054,0.00795954,0.00795954,0.00795954
32,1416.88,0.89987,0.96696,0.90133,0.76276,0.4401,0.39949,0.25594,0.88482,1.26217,0.93458,0.00783231,0.00783231,0.00783231
33,1451.48,0.84282,0.9569,0.88181,0.7785,0.26562,0.33552,0.22358,0.97028,1.44549,0.93686,0.00770234,0.00770234,0.00770234
34,1485.38,0.93406,1.00124,0.92041,0.55163,0.27865,0.37011,0.25908,0.92344,1.32945,0.9263,0.00756976,0.00756976,0.00756976
35,1514.01,0.94653,0.97187,0.91432,0.94765,0.23958,0.36084,0.26639,0.9217,1.06129,0.9467,0.00743468,0.00743468,0.00743468
36,1542.44,0.89458,0.92865,0.90941,0.89205,0.24219,0.34124,0.24815,0.93052,1.05365,0.93924,0.00729725,0.00729725,0.00729725
37,1570.48,0.85628,0.87312,0.8686,0.50485,0.31245,0.35486,0.26949,0.89203,1.00878,0.93395,0.00715761,0.00715761,0.00715761
38,1598.47,0.87383,0.92204,0.89415,0.46681,0.53385,0.36908,0.27241,0.86787,1.0506,0.92151,0.00701588,0.00701588,0.00701588
39,1628.08,0.86808,0.91341,0.87784,0.52875,0.39583,0.38373,0.26745,0.83167,0.99863,0.91545,0.00687222,0.00687222,0.00687222
40,1656.99,0.88171,0.89312,0.89972,0.53507,0.38445,0.38888,0.26747,0.85065,0.9882,0.91522,0.00672675,0.00672675,0.00672675
41,1685.62,0.87311,0.88749,0.87882,0.50898,0.40365,0.3503,0.25758,0.89145,1.03456,0.93444,0.00657963,0.00657963,0.00657963
42,1714.96,0.84063,0.92505,0.89292,0.52149,0.35417,0.36509,0.25269,0.88491,1.02224,0.93399,0.00643101,0.00643101,0.00643101
43,1742.82,0.83902,0.91206,0.88646,0.55771,0.52799,0.40023,0.26539,0.89786,0.96508,0.93971,0.00628101,0.00628101,0.00628101
44,1771.1,0.85074,0.88727,0.90238,0.63719,0.56187,0.47141,0.34267,0.88887,0.95249,0.94103,0.00612981,0.00612981,0.00612981
45,1798.94,0.83001,0.8426,0.89498,0.716,0.42448,0.52734,0.40148,0.88283,0.99659,0.93649,0.00597754,0.00597754,0.00597754
46,1825.94,0.82729,0.84227,0.8857,0.61505,0.64583,0.48031,0.34439,0.83216,0.91204,0.92118,0.00582435,0.00582435,0.00582435
47,1855.06,0.82266,0.82974,0.87466,0.62834,0.55208,0.50462,0.34862,0.8175,0.88262,0.91967,0.0056704,0.0056704,0.0056704
48,1885.79,0.80224,0.83435,0.86176,0.74502,0.54981,0.54087,0.37816,0.8357,0.88566,0.92326,0.00551584,0.00551584,0.00551584
49,1916.01,0.77282,0.81661,0.85016,0.72674,0.64323,0.59692,0.44576,0.91285,0.92388,0.92761,0.00536081,0.00536081,0.00536081
50,1945.84,0.7823,0.79881,0.86922,0.7281,0.64323,0.63721,0.48132,0.97114,0.95252,0.93053,0.00520548,0.00520548,0.00520548
51,1975.21,0.80773,0.82959,0.86501,0.6387,0.72396,0.63907,0.49018,0.85666,0.9003,0.92706,0.00505,0.00505,0.00505
52,2004.3,0.83787,0.8221,0.87978,0.71463,0.59635,0.70584,0.53813,0.85327,0.86003,0.93079,0.00489452,0.00489452,0.00489452
53,2031.26,0.81279,0.78809,0.87174,0.79587,0.45707,0.708,0.54532,0.88592,0.8569,0.92922,0.00473919,0.00473919,0.00473919
